Comp,RIOTs,Evidence,Assessment,Criteria
"5.5.1.1 Understand 
the principles and 
key elements of 
patient plan checking","o  For a variety of body sites and plan types, 
observe and assist an experienced plan checker 
with plan checking 
o  Review departmental plan checklist 
o  Review ARPANSA RPS14.3 and RANZCR-
ACPSEM-AIR Tripartite Committee Radiation 
Oncology Practice Standards  (2011) and 
Supplementary Guide recommendations for 
planning 
o 
Summarise the patient plan check process from 
a global perspective including: what is being 
checked, where the checks occur in the process 
and who does them, and the extent to which the 
defence-in-depth approach may have been 
applied","o  Log book notes 
o  Brief summary","o  Review evidence  
o  Q&A with 
assessor","o 
Identifies and describes the purpose of the key elements of 
the plan check in the RANZCR-ACPSEM-AIR Tripartite 
Committee Radiation Oncology Practice Standards (2011) 
and Supplementary Guide including: 
o  patient identification and consent 
o  prescription 
o  setup and immobilization 
o 
imaging 
o  contouring 
o  beam arrangements 
o  dose constraints to PTV and OAR 
o 
independent MU, time or dose check 
o  plan verification via measurement 
o 
transfer to R&V and/or treatment unit 
o 
Identifies who is responsible for performing each check and 
when it occurs in the planning process. 
o  Describes how the plan check process meets the defence in 
depth principles"
"5.5.1.2 Describe the 
effects of treatment 
planning errors on 
dose received by 
patients","o  Carry out research on radiotherapy errors 
related to treatment planning & prepare 
summary.  Consider the following information 
sources:  departmental QC records, internet 
searches, textbooks, ROSIS, IIMS reports/RSC, 
IAEA, reports from regulators.","o  Oral presentation 
to physics – RT 
team meeting","o  Review 
presentation 
o  Q&A with 
assessor","o  Describes for at least four different examples of treatment 
planning errors: 
o 
the error 
o 
factors contributing to the error 
o 
the clinical impact of the error 
o  whether the error could have been picked up through 
plan QC and if so how"
"5.5.1.3 Understand 
methods,  
measurement 
equipment and 
analysis tools to 
verify the accuracy of 
treatment plans for 
individual patients","o  Review the local department protocols and best 
practice recommendations on performing 
verification measurements of treatment plans.  
Examples could include patient specific QA for 
IMRT, VMAT, gated therapies, junctional fields. 
o  Observe/assist with dosimetric verification 
measurements for individual patients.",o  Brief summary,"o  Review evidence  
o  Q&A with 
assessor","o  Describes verification process, i.e. what is required before a 
plan is approved for treatment 
o  Describes rationale behind choice of appropriate dosimeter 
and phantom for specific patient verification measurements. 
o  Describes basic analysis tools for the verification process, 
such as 2D profiles, 3D isodoses, DVH, dose conformity 
indices, 
o  Describes applicability of distance metrics and dose 
difference metrics, and methods of combining these (e.g., 
gamma index), to quantify agreement between plan and 
measurement."
"4.5.2.1 Perform 
acceptance and 
commissioning tests 
for a CT","o  Read and summarise references. 
o  Read previous departmental acceptance and 
commissioning reports. 
o  Perform acceptance and commissioning tests on 
a new or upgraded CT or repeat procedure for 
an existing system","o  Summary notes. 
o  Acceptance and 
Commissioning 
report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Explains goals of acceptance and commissioning, general 
order of the tests and the relevance of each major step in the 
procedure including: 
o  Radiation safety and surveys 
o  HU to ED curves 
o  Imaging dose 
o  Image quality checks 
o  Mechanical and laser alignment tests 
o  Data transfer tests 
o  End to end testing 
o  Setup of QA baselines 
o  Staff training 
o  Documentation 
o  Identifies appropriate legislative requirements  
o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g. AAPM Report 39, AAPM TG-66, TG-53, CAPCA 
2007, IAEA TECDOC 1583 
o  Identifies limitations and tolerances  
o  Draws appropriate conclusions from results 
o  Explains relationship between acceptance and 
commissioning tests and ongoing QA. 
o  Identifies roles of multidisciplinary team in acceptance and 
commissioning, e.g. manufacturer, engineer, diagnostic 
imaging physicist, license compliance tester, RTs."
"4.5.2.2 Perform QA 
for a CT","o  Read and summarise references. 
o  Read previous departmental QA reports and 
protocols. 
o  Perform regular (e.g., daily, monthly, annual) QA 
on a CT 
o  Review common faults and interlocks 
encountered on the CT and corrective action 
taken","o  Summary notes. 
o  QA report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Describes the role of a QA program and its relevance to 
patient outcomes 
o  Identifies roles of multidisciplinary team in QA. 
o  Explains purpose of QA tests and their tolerances 
o  Explains test frequency and relationship between daily, 
medium and longer term QA. 
o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g. AAPM TG-66, CAPCA 2007 
o  Draws appropriate conclusions from results"
"3.4.2.1 Determine 
relative dose factors","o  Determine the following: 
o  For MV photons: 
o  PDD 
o  TAR/TMR/TPR 
o 
Scatter factors (total, head, phantom, 
peak) 
o  Off axis ratios 
o  Wedge factors 
o  Accessory transmission factors 
o  For MeV electrons: 
o  PDD 
o  Applicator & cutout factors 
o 
Shielding transmission factors 
o  Dose / distance relationships 
o  For kV photons: 
o  PDD 
o  Applicator / cone / cutout factors 
o  Backscatter factors 
o 
Shielding transmission factors 
o  Dose/distance relationship 
o  Review requirements for relative dosimetry in 
small fields where CPE does not exist (e.g. for 
IMRT or stereotactic applications)","o  Logbook notes 
o  Experimental 
records","o  Practical 
demonstration to 
assessor.  
o 
 Q&A session to 
cover 
measurements 
not routinely 
performed in 
department.","o  Meets general criteria for practical work 
o  Appropriate choice of detector and phantom 
o  Appropriate measurement geometry 
o 
Justifies choice of local measurement or use of published 
data. 
o  Demonstrates an understanding of the consequences of CPE 
breakdown for dosimetry."
"3.4.2.2 Analyze the 
uncertainty of 
relative dose 
measurements","o  Literature review 
o  Assess departmental results for reproducibility, 
estimate Type A and Type B errors 
o  Compare measurements made via different 
techniques 
o  Compare departmental measurements with 
external benchmarks (e.g. BJR data)",o  Written report,"o  Assessor review 
of report 
o  Q & A with 
assessor.","o 
Identifies key sources of uncertainty 
o  Calculates realistic estimate of uncertainty 
o 
Suggests methods to reduce uncertainty 
o 
Identifies how errors in factors affect overall patient dose 
delivery (all patients, group of patients or one patient)"
"3.4.3.1 Manage 
relative dose 
measurements in 
external beam 
radiotherapy and 
relate to absorbed 
dose","o  Manage relative dose measurements that 
require selection of appropriate detector and 
measurement technique such as: 
o  commissioning new treatment unit, TPS or 
independent MU check software 
o  establishing or revising annual QA program 
for treatment unit  
o  commissioning new treatment technique","o 
Internal report 
and/or 
presentation.","o  Assessor review 
of report and 
Q&A.","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o 
Sets appropriate tolerances relative to accuracy of 
measurement."
"4.2.3.1 Perform 
quality management 
and provide 
scientific advice on 
an MLC used for 
IMRT","o  Participate in managing commissioning of an 
MLC used for IMRT  
o  Develop new commissioning program for an 
MLC used for IMRT or analyse an existing 
program and make recommendations 
o  Develop new ongoing QA program for an MLC 
used for IMRT or analyse an existing program 
and make recommendations 
o  Participate in managing an ongoing QA program 
for an MLC used for IMRT 
o  Respond to faults and perform tests to return 
an MLC used for IMRT to service after repairs 
o  Compare and contrast the departmental QM 
programs with national/international 
guidelines and best practice and make 
recommendations","o  New program or 
report 
summarizing 
recommendations","o  Review of 
program or report 
by assessor","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o 
Identifies potential impact of changes in of MLC position and 
speed, linac dose rate and gantry speed on IMRT treatment 
delivery, as appropriate for the scenario 
o 
Identifies appropriate tests and measurements and a logical 
order in which to perform them 
o  Describes different methods of performing tests 
o  Understands how the test conditions and measurements 
relate back to clinical use of the equipment 
o  Understands importance of time constraints and meeting 
milestones and deadlines 
o  Explains how the linac IMRT components are integrated 
with planning, data transfer and verification. 
o  Analyses differences between departmental procedures and 
tolerances and published recommendations. 
o  Describes new developments to IMRT QM 
o  Describes impact of known incidents and accidents on the 
local QM system and makes recommendations"
"4.2.2.1 Perform IMRT 
commissioning tests 
and measurements","o  Read and summarise references. 
o  Read previous departmental commissioning 
reports. 
o  Perform IMRT commissioning tests and 
measurements or repeat for an existing system","o 
Summary notes. 
o  Commissioning 
report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g., AAPM TG-119, Van Esch, Lo Sasso 
o  Performs end-to-end tests 
o  Selection of equipment 
o  Measurement methods 
o  Comparison of distribution maps 
o  Data transfer 
o  Log files 
o 
Identifies limitations and tolerances 
o  Links IMRT limitations to linac performance limitations, 
e.g. consider small sub-fields, small MU, etc. 
o  Draws appropriate conclusions from results 
o  Explains relationship between commissioning tests and 
ongoing QA."
